window,architecture,mean_val_mse,std_val_mse,n_params
2,20-10,3.54720512e-05,2.33753050e-05,281
3,10-10,5.21155324e-05,2.33833603e-05,161
2,5-5,6.04382139e-05,4.79892133e-05,51
2,10-10,6.19042221e-05,3.51267910e-05,151
3,10-5,6.40765957e-05,2.27547334e-05,101
3,5-5,6.57614032e-05,2.62282090e-05,56
6,5-5,6.61544749e-05,3.18733091e-05,71
3,20-10,6.87534079e-05,3.80453976e-05,301
2,10-5,6.97354059e-05,4.04772393e-05,91
3,10,7.06654970e-05,2.80625523e-05,51
4,10,7.57606045e-05,3.01675854e-05,61
5,10-10,7.57698592e-05,3.88896454e-05,181
5,5-5,7.62713085e-05,3.87358886e-05,66
3,5,8.30431930e-05,5.15525250e-05,26
2,20,8.45948222e-05,5.85422693e-05,81
6,20,8.83049210e-05,4.76327863e-05,161
2,10,8.86238796e-05,3.42221471e-05,41
4,10-5,9.18189060e-05,3.85390833e-05,111
5,10-5,9.25458923e-05,4.76059281e-05,121
4,20-10,9.62821169e-05,2.81488114e-05,321
6,10-10,9.91837908e-05,5.48441965e-05,191
4,20,1.01227702e-04,2.76273707e-05,121
5,20,1.06836056e-04,4.83713208e-05,141
2,5,1.26963033e-04,5.71594513e-05,21
5,5,1.39987363e-04,7.76465269e-05,36
6,5,1.40127936e-04,5.01694450e-05,41
6,10-5,1.40565414e-04,1.43006428e-04,131
4,5-5,1.48054398e-04,5.73694405e-05,61
3,20,1.49497699e-04,1.03209901e-04,101
4,10-10,1.51410150e-04,1.14055467e-04,171
5,10,1.52082249e-04,5.72765231e-05,71
5,20-10,1.55355987e-04,6.56328871e-05,341
6,20-10,1.57551357e-04,1.29313461e-04,361
6,10,1.64943061e-04,6.98353006e-05,81
4,5,1.73052295e-04,1.59233924e-04,31
